name        rock01
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/obj/roccia3.png
    attack.damage.force 10
    attack.position.x 1
    attack.position.y 1
    attack.reaction.fall.force 1
    attack.size.x 45
    attack.size.y 45
    frame    data/chars/misc/obj/roccia2.png
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.force 0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/obj/roccia1.png

anim fall
    loop     0
    delay    3
    offset   -300 40
    dropv    4 1 0
    movea    -15
    attack.damage.force 0
    attack.position.x 0
    attack.position.y 0
    attack.reaction.fall.velocity.x 1.0
    attack.reaction.fall.velocity.y 4.0
    attack.reaction.fall.velocity.z 0.0
    attack.size.x 0
    attack.size.y 0
    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png

    frame    data/chars/misc/obj/roccia1.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia1.png

    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia1.png

    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia1.png

    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia1.png

    frame    data/chars/misc/obj/roccia4.png
    frame    data/chars/misc/obj/roccia3.png
    frame    data/chars/misc/obj/roccia2.png
    frame    data/chars/misc/obj/roccia1.png

